,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
3874,PAST SALE,July-16-2020,Condo/Co-op,701 San Conrado Ter #1,SUNNYVALE,CA,94085.0,880000.0,2.0,2.0,SUNNYVALE,1078.0,,1986.0,303.0,816.0,400.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/701-San-Conrado-Ter-94085/unit-1/home/1462701,MLSListings,ML81786354,N,Y,37.391884000000005,-122.01486899999999
3875,PAST SALE,October-18-2018,Unknown,738 Borregas Ave,SUNNYVALE,CA,94085.0,1790000.0,5.0,5.0,SUNNYVALE,2193.0,7396.0,1954.0,940.0,816.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/738-Borregas-Ave-94085/home/1392946,MLSListings,ML81721836,N,Y,37.3949091,-122.0233209
3876,PAST SALE,August-18-2020,Multi-Family (5+ Unit),670 Morse Ave,SUNNYVALE,CA,94085.0,2373000.0,5.0,,SUNNYVALE,5393.0,11438.0,1974.0,270.0,440.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/670-Morse-Ave-94085/home/1711382,MLSListings,ML81800006,N,Y,37.3918951,-122.01894650000001
3877,PAST SALE,June-19-2017,Condo/Co-op,795 N Fair Oaks Ave #4,SUNNYVALE,CA,94085.0,665000.0,2.0,1.0,SUNNYVALE,926.0,960.0,1972.0,1426.0,718.0,336.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/795-N-Fair-Oaks-Ave-94085/unit-4/home/1788918,MLSListings,ML81651257,N,Y,37.3927217,-122.0142368
3878,PAST SALE,February-15-2017,Condo/Co-op,795 N Fair Oaks Ave #9,SUNNYVALE,CA,94085.0,649000.0,2.0,1.0,SUNNYVALE,926.0,960.0,1972.0,1550.0,701.0,336.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/795-N-Fair-Oaks-Ave-94085/unit-9/home/1723101,MLSListings,ML81638989,N,Y,37.3927217,-122.0142368
3879,PAST SALE,May-21-2020,Multi-Family (2-4 Unit),661 W Eden Ave,SUNNYVALE,CA,94085.0,1250000.0,5.0,,SUNNYVALE,1536.0,6045.0,1962.0,359.0,814.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/661-W-Eden-Ave-94085/home/644236,MLSListings,ML81784623,N,Y,37.3902707,-122.0169925
3880,PAST SALE,June-26-2018,Single Family Residential,365 E Arques Ave,SUNNYVALE,CA,94085.0,1260888.0,3.0,2.0,SUNNYVALE,1251.0,4850.0,1948.0,1054.0,1008.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/365-E-Arques-Ave-94085/home/1772996,MLSListings,ML81705929,N,Y,37.3829294,-122.0231655
3881,PAST SALE,June-28-2018,Condo/Co-op,612 San Conrado Ter #7,SUNNYVALE,CA,94085.0,1090000.0,2.0,2.0,SUNNYVALE,996.0,,1985.0,1052.0,1094.0,392.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/612-San-Conrado-Ter-94085/unit-7/home/1096367,MLSListings,ML81708830,N,Y,37.391620200000006,-122.0160379
3882,PAST SALE,October-16-2019,Single Family Residential,562 Cypress Ave,SUNNYVALE,CA,94085.0,1200000.0,2.0,1.0,SUNNYVALE,1009.0,5050.0,1952.0,577.0,1189.0,,Sold,,,http://www.redfin.com/CA/Sunnyvale/562-Cypress-Ave-94085/home/764604,MLSListings,ML81766988,N,Y,37.3882416,-122.0171257
3883,PAST SALE,July-18-2018,Condo/Co-op,791 N Fair Oaks Ave #5,SUNNYVALE,CA,94085.0,878000.0,2.0,1.0,SUNNYVALE,926.0,929.0,1972.0,1032.0,948.0,360.0,Sold,,,http://www.redfin.com/CA/Sunnyvale/791-N-Fair-Oaks-Ave-94085/unit-5/home/821952,MLSListings,ML81710013,N,Y,37.393109,-122.01493500000001
